Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,270,4,104,8,0,161,0,243,112,264,152
1952,271,25,114,16,1,187,0,219,142,286,144
1953,272,23,116,9,0,134,0,245,130,281,151
1954,283,29,108,5,0,186,1,238,118,282,164
1955,282,26,131,1,0,168,1,223,140,290,150
1956,293,41,128,0,0,193,0,228,141,282,141
1957,295,15,109,9,0,167,0,243,129,273,144
1958,276,17,101,5,0,180,0,234,124,294,170
1959,271,12,126,4,0,133,0,236,114,260,146
1960,282,18,102,3,0,187,0,253,124,270,146
1961,282,20,88,7,0,168,0,265,86,287,201
1962,289,29,116,6,0,158,0,218,154,288,134
1963,271,54,119,6,0,145,0,236,116,281,165
1964,268,26,107,20,0,149,0,231,100,266,166
1965,299,19,115,4,0,215,0,233,140,282,142
1966,283,18,82,3,0,204,0,247,92,302,210
1967,267,17,97,10,0,166,0,242,123,291,168
1968,280,30,113,2,0,189,0,231,140,293,153
1969,274,43,113,10,0,165,0,225,110,291,181
1970,280,31,115,6,0,179,0,222,118,288,170
1971,272,24,102,13,0,135,0,234,119,258,139
1972,301,23,121,9,0,128,0,235,116,269,153
1973,260,16,128,10,0,163,1,208,135,285,150
1974,280,0,72,5,0,198,0,242,128,275,147
1975,269,8,98,4,0,172,0,224,100,283,183
1976,267,20,111,15,0,146,0,237,135,294,159
1977,278,9,88,2,0,167,0,253,151,320,169
1978,298,25,112,1,0,180,1,234,131,291,160
1979,273,17,112,7,0,186,0,230,127,258,131
1980,297,26,106,3,0,183,0,228,125,277,152
1981,280,30,111,1,0,201,0,236,122,297,175
1982,257,20,110,9,0,153,0,244,131,298,167
1983,261,28,106,14,0,162,0,240,103,294,191
1984,299,10,115,4,0,154,0,218,129,301,172
1985,274,42,130,5,0,157,0,221,123,289,166
1986,279,31,102,4,0,175,0,236,103,262,159
1987,281,36,104,2,0,189,0,240,112,271,159
1988,268,7,81,5,0,191,0,245,116,303,187
1989,261,17,95,5,0,134,0,254,126,276,150
1990,277,9,81,8,0,143,0,259,102,294,192
1991,271,24,103,7,1,119,0,242,116,294,178
1992,253,14,81,13,0,154,0,238,111,286,175
1993,262,24,99,4,0,152,1,251,104,291,187
1994,262,5,65,26,2,156,0,276,109,277,168
1995,274,20,97,13,0,178,0,245,134,294,160
1996,289,42,125,3,0,138,0,225,108,297,189
1997,267,18,94,3,0,130,0,247,128,294,166
1998,270,21,90,12,0,172,0,261,104,311,207
1999,254,16,81,4,0,167,0,249,109,288,179
2000,252,9,63,9,0,170,0,274,99,316,217
2001,265,11,90,12,0,179,0,244,109,307,198
2002,257,19,71,8,0,167,0,278,104,270,166
2003,243,17,117,30,0,142,0,228,109,285,176
2004,275,16,101,9,0,198,0,243,144,285,141
2005,265,22,104,16,0,186,0,242,138,289,151
2006,255,19,101,18,0,179,0,248,119,289,170
2007,253,10,76,6,0,195,0,269,108,286,178
2008,260,1,98,16,0,179,0,249,108,261,153
2009,255,24,95,6,0,184,0,246,124,286,162
2010,275,52,113,12,0,205,0,239,113,284,171
2011,251,13,93,7,0,162,1,261,124,286,162
2012,256,23,88,16,0,194,0,264,137,284,147
2013,269,22,100,18,0,183,0,238,97,303,206
2014,264,4,68,11,0,169,0,277,108,324,216
2015,267,4,96,33,0,164,0,264,109,284,175
2016,250,12,91,12,0,175,0,245,120,283,163
2017,266,15,90,11,0,179,0,263,129,303,174
2018,227,7,90,27,1,156,0,260,95,268,173
2019,248,6,83,24,0,168,0,262,134,262,128
2020,260,1,90,12,0,170,0,265,132,285,153
2021,262,11,106,4,0,202,0,253,127,282,155
2022,238,8,86,23,0,171,0,267,109,316,207
2023,237,6,72,19,0,193,0,280,115,287,172
2024,238,10,61,21,0,180,0,285,116,308,192
