Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,284,1,73,2,0,217,254,120,280,160
1952,268,17,102,15,0,206,240,95,285,190
1953,273,16,101,8,0,168,246,130,281,151
1954,297,25,88,2,0,210,248,117,304,187
1955,279,12,120,2,0,189,234,115,291,176
1956,292,32,104,1,0,221,240,111,282,171
1957,292,9,87,9,0,197,265,128,273,145
1958,275,4,88,1,0,219,248,113,294,181
1959,266,6,91,5,0,169,259,112,280,168
1960,279,12,67,0,0,240,268,123,287,164
1961,275,13,70,6,0,193,279,86,293,207
1962,282,16,97,6,0,201,235,120,294,174
1963,272,51,105,5,0,182,247,93,287,194
1964,269,20,93,19,0,172,245,98,287,189
1965,303,11,84,2,0,253,250,140,294,154
1966,280,12,64,3,0,239,266,90,303,213
1967,274,14,76,10,0,211,259,123,291,168
1968,285,22,98,2,0,222,244,139,294,155
1969,281,35,100,5,0,214,241,109,309,200
1970,278,19,99,1,0,237,240,100,290,190
1971,275,18,91,12,0,177,252,118,279,161
1972,310,16,88,2,0,183,255,116,288,172
1973,262,13,115,5,0,210,225,111,285,174
1974,283,1,46,3,0,241,266,112,289,177
1975,272,4,80,6,0,196,243,100,296,196
1976,268,17,91,18,0,175,248,121,309,188
1977,280,6,56,1,0,216,273,109,330,221
1978,303,22,77,1,0,221,255,107,292,185
1979,271,17,76,1,0,239,247,126,314,188
1980,297,24,78,2,0,214,250,96,306,210
1981,278,15,90,2,0,230,245,113,310,197
1982,262,18,69,3,0,194,257,103,310,207
1983,266,10,82,16,1,204,255,88,294,206
1984,297,4,87,6,0,198,240,129,323,194
1985,276,35,108,4,0,183,244,123,293,170
1986,285,27,86,4,0,198,254,103,302,199
1987,280,26,95,3,0,205,249,103,308,205
1988,275,4,64,3,0,229,265,116,303,187
1989,261,5,76,8,0,175,274,82,311,229
1990,278,3,59,11,0,185,280,85,295,210
1991,271,18,90,8,0,171,262,125,295,170
1992,262,9,70,13,0,193,270,107,286,179
1993,279,17,80,2,0,220,261,94,300,206
1994,264,2,48,14,0,223,291,108,277,169
1995,285,16,83,6,0,210,263,103,294,191
1996,292,22,112,1,0,188,232,106,325,219
1997,276,16,90,3,0,181,259,113,294,181
1998,269,15,82,9,0,209,270,109,311,202
1999,254,13,67,5,0,221,261,109,289,180
2000,256,3,45,4,0,233,287,98,323,225
2001,269,4,73,12,0,216,262,112,309,197
2002,253,13,47,4,0,188,305,98,292,194
2003,250,11,102,29,0,154,248,102,290,188
2004,280,11,92,12,0,215,249,144,312,168
2005,256,24,95,14,0,194,257,131,317,186
2006,245,18,89,18,1,202,258,119,305,186
2007,247,11,54,5,0,207,289,94,292,198
2008,251,2,82,6,0,212,273,98,318,220
2009,246,18,81,8,0,202,264,88,286,198
2010,258,36,101,13,0,221,246,100,293,193
2011,234,7,68,9,0,176,284,80,293,213
2012,249,17,65,14,0,206,284,107,300,193
2013,261,15,93,12,0,204,239,97,314,217
2014,246,2,40,8,0,196,306,106,341,235
2015,261,1,76,26,0,174,280,97,325,228
2016,248,8,73,13,0,196,264,119,308,189
2017,258,16,75,18,0,197,273,113,303,190
2018,228,6,72,24,0,166,279,91,320,229
2019,246,2,64,19,0,190,279,104,312,208
2020,243,1,61,18,0,176,287,132,324,192
2021,261,7,85,5,0,214,267,127,309,182
2022,231,8,65,28,0,179,289,93,330,237
2023,228,1,57,21,0,206,300,110,288,178
2024,244,6,44,15,0,208,301,113,320,207
